(0.5699102740762534, 0.8637417218543046) (0.4530330165812445, 0.7160596026490066) 0.74699336 0.68911487 0.6880855
(0.6527397576330441, 0.947682119205298) (0.5754984728759592, 0.9185430463576159) 0.51698434 0.48897558 0.4893764
(0.7296721537873357, 0.9605960264900663) (0.6553841860475291, 0.9486754966887417) 0.40713185 0.3741307 0.3752775
(0.745727103256019, 0.9627483443708609) (0.6644806358580331, 0.9531456953642384) 0.3378829 0.31274053 0.30886933
(0.773261699913489, 0.9675496688741722) (0.6845107851022467, 0.9529801324503311) 0.29926342 0.2751032 0.27896178
(0.7975337324407203, 0.9700331125827815) (0.7208043825280753, 0.9549668874172186) 0.2748697 0.25495693 0.25483987
(0.8098783380179159, 0.9730132450331126) (0.7291766976483567, 0.9605960264900663) 0.26236 0.23375396 0.23993139
(0.8139067968489987, 0.9740066225165563) (0.725191062999933, 0.9582781456953643) 0.24612111 0.2271023 0.2283516
(0.8239184764742965, 0.9786423841059603) (0.7410699414509684, 0.9642384105960264) 0.23778532 0.21705264 0.21739995
(0.8350653050181047, 0.9799668874172185) (0.7464529613158636, 0.9667218543046358) 0.22983415 0.20356227 0.20833029
(0.8344559101878484, 0.980794701986755) (0.7417021958212879, 0.9675496688741722) 0.2243801 0.19694373 0.20173967
(0.8465285756441948, 0.9827814569536424) (0.7514727674844004, 0.9721854304635762) 0.21474186 0.18956037 0.19033897
(0.8426978056864513, 0.9834437086092715) (0.750848900270187, 0.9713576158940397) 0.21027014 0.18965554 0.18828532
(0.8478732872225356, 0.9822847682119206) (0.7552799567194266, 0.9725165562913908) 0.20623253 0.18084939 0.18821888
(0.8511736918209101, 0.9849337748344371) (0.7662638081835516, 0.976158940397351) 0.20366417 0.17393975 0.17947225
(0.8519508343137109, 0.9860927152317881) (0.766296069822402, 0.9741721854304636) 0.19817145 0.17147334 0.17804879
(0.8592288674519023, 0.9850993377483444) (0.7755083230278017, 0.9773178807947019) 0.19723748 0.1737719 0.17504919
(0.8645060747899387, 0.9865894039735099) (0.7811031559015706, 0.9778145695364239) 0.19661984 0.17160977 0.17322153
(0.861695186989543, 0.9869205298013245) (0.7774819131632613, 0.9768211920529801) 0.19144423 0.16509713 0.17139938
(0.8636559609906397, 0.9867549668874173) (0.7818716622530771, 0.9779801324503311) 0.18907839 0.16351558 0.16877572
(0.8636749388854968, 0.9877483443708609) (0.7835726848112188, 0.9763245033112583) 0.18654904 0.15786077 0.16237694
(0.8677403397225505, 0.9859271523178808) (0.7872553902421023, 0.979635761589404) 0.18837574 0.1615086 0.16486272
(0.8641557989235671, 0.9867549668874173) (0.784666774811845, 0.9783112582781457) 0.18463624 0.15580553 0.1591133
(0.8684407256677814, 0.9864238410596027) (0.7874423834850507, 0.9791390728476821) 0.18131737 0.1564067 0.16153634
(0.87212526722556, 0.9867549668874173) (0.7956030399302187, 0.9794701986754967) 0.18618292 0.15670626 0.15734684
(0.8671998142826272, 0.9875827814569537) (0.7884473846288467, 0.9814569536423841) 0.18393326 0.15430215 0.1608786
(0.8654324214062141, 0.9884105960264901) (0.7877220105341993, 0.9804635761589404) 0.18505456 0.1538906 0.15864547
(0.866738390503985, 0.9869205298013245) (0.7870027677882008, 0.9801324503311258) 0.18080612 0.15046501 0.15410484
(0.8724343529900813, 0.9865894039735099) (0.7924786160099225, 0.9806291390728477) 0.17952819 0.1496902 0.15262637
(0.8727608213047483, 0.9879139072847682) (0.7875693730028478, 0.9802980132450331) 0.17511524 0.14916289 0.15455993
(0.8694212967080944, 0.9864238410596027) (0.7861392420654915, 0.9812913907284768) 0.17735076 0.14759962 0.15286715
(0.8723067274100786, 0.9892384105960265) (0.7906912782883496, 0.9814569536423841) 0.17525347 0.14803334 0.1534928
(0.8728101599072818, 0.9879139072847682) (0.7955367382400336, 0.9832781456953642) 0.17707157 0.14549369 0.15253063
(0.8696657479055926, 0.9864238410596027) (0.7903991745592448, 0.9789735099337749) 0.17660989 0.14545932 0.1538605
(0.8704970726784718, 0.9872516556291391) (0.7908987329909967, 0.9801324503311258) 0.17748402 0.14314172 0.14492397
(0.8684726746217979, 0.9865894039735099) (0.7900103454431386, 0.9804635761589404) 0.17264524 0.1375816 0.14599614
(0.8751200765343938, 0.9875827814569537) (0.7959621913874803, 0.981953642384106) 0.17180303 0.14490606 0.15051046
(0.8703485403802925, 0.9884105960264901) (0.7842612625876808, 0.9798013245033113) 0.17250809 0.14219227 0.1489624
(0.873035848705083, 0.9877483443708609) (0.7953656394195412, 0.9829470198675496) 0.17169325 0.14150518 0.14493892
(0.8662221358335183, 0.9877483443708609) (0.786694922027911, 0.9806291390728477) 0.17083669 0.14094935 0.1488427
